,"action,wealth","advice,greeting","opinion,wealth","religion,family and friends","relationships,opinion","relationships,wealth","relationships,advice","religion,conflict","family and friends,sex and party","career,advice",relationships,"emotion,adlib","existential,wealth","career,adlib","weather,conflict","relationships,emotion","greeting,conflict","weather,wealth","action,opinion","advice,sex and party","wealth,conflict","action,greeting",sex and party,"conflict,sex and party","career,wealth","existential,adlib","action,weather","opinion,weather","opinion,greeting","sex and party,family and friends","career,existential","wealth,greeting",adlib,"farewell,wealth","wealth,sex and party","weather,sex and party","greeting,sex and party","farewell,greeting",greeting,"emotion,existential","relationships,sex and party","adlib,family and friends","emotion,conflict","emotion,action",farewell,"action,sex and party","adlib,weather","emotion,family and friends","existential,sex and party",religion,"relationships,family and friends","existential,opinion","relationships,existential","action,emotion","family and friends,conflict","existential,greeting",career,"adlib,greeting","advice,family and friends","existential,religion","relationships,greeting","advice,weather","greeting,wealth",action,existential,emotion,"action,religion","religion,advice","existential,conflict","sex and party,conflict","action,existential","opinion,existential",weather,"career,greeting","greeting,family and friends","career,relationships",wealth,"relationships,adlib","opinion,advice","action,advice","advice,conflict","action,relationships","adlib,advice","conflict,family and friends","existential,family and friends","adlib,conflict","action,career","relationships,career","emotion,relationships","existential,weather","adlib,existential","emotion,advice","opinion,sex and party","religion,wealth","opinion,conflict","emotion,sex and party","existential,advice",family and friends,"emotion,religion","relationships,weather","action,conflict","career,sex and party","advice,wealth","opinion,family and friends","action,family and friends","religion,sex and party","adlib,wealth","emotion,greeting","adlib,religion","relationships,religion","opinion,religion",conflict,"wealth,family and friends",advice,"career,opinion","adlib,sex and party",opinion,"career,conflict","farewell,conflict","relationships,action","relationships,conflict","emotion,wealth","opinion,adlib","career,family and friends"
337,,,,,,,,,,,I'mma send you this open scribe through the airwaves,,,,,,,,,,,,Am and Hammer baking soda,,,,,,,,,,And my ego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Produced by M16, Anomaly, and Kanye West]",,,,,,,,,,,,"Like it's coke money, aight?",,,,,,,,,,,,,,,,,,,,,"Love is war, I'm your soldier",,,,,,,,,,,,,,"He would bob his head and say, damn, oh, that's you",,"If you don't love me, somebody else will",,,"Get arrested, guess until, they get the message",,,,,,,
338,,,,,,,,,,,Vibe with me...,,,,,,,,,,,,I thought you were that ride or die,,,,,,,,,,"You know I'm-a cut right to the chase, huh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,So you know where my mind is,,,,,,,,,,,,"With not a dollar, not a cent, not a rock to my name",,,,,,,,,,,,,,,,,,,,,Then love you 'til your eyes roll back,,,,,,,,,,,,,,"And I'm like yea, yea we gonna be there",,"If you wanna leave, be my guest you can step",,,"To whom much is given, much is tested",,,,,,,
339,,,,,,,,,,,"We in South Beach and the Hamptons, too, baby!",,,,,,,,,,,,Cause I was in the hood getting hooptie love,,,,,,,,,,Some women were made,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,But that's the life of a young goon,,,,,,,,,,,,"Mercy, mercy me, that Murcielago",,,,,,,,,,,,,,,,,,,,,"Love is war, I'm your soldier",,,,,,,,,,,,,,Before I lose it and have to prove it,,And don't I do what I do say?,,,Get arrested guess until he get the message,,,,,,,
340,,,,,,,,,,,"You know why they call The Projects a project, because it's a project!",,,,,,,,,,,,I thought you were that ride or die,,,,,,,,,,For a special purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,life styles of the rich and famous,,,,,,,,,,,,"Buy it, use it, break it, fix it",,,,,,,,,,,,,,,,,,,,,Now I'ma send you out into the world with my love,,,,,,,,,,,,,,"Don't shoot ya, stop the violence and it's been stopped",,And let 'Ye do 'Ye,,,"To whom much is given, much is tested",,,,,,,
341,,,,,,,,,,,"We show success, please live through me",,,,,,,,,,,,"Yeah, let me catch my breath",,,,,,,,,,You feel me?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a 50ft yaht with an anchor a young super model who shall remain nameless,,,,,,,,,,,,"Trash it, change it, mail - upgrade it",,,,,,,,,,,,,,,,,,,,,Then love you 'til your eyes roll back,,,,,,,,,,,,,,I turned around and replied why yes,,"And if you leave, leave correct",,,People talk shit about me,,,,,,,
342,,,,,,,,,,,"See I'm the eyes for Emory, keep him alive",,,,,,,,,,,,Oh I need 40 acres and a girl that got a mule ass,,,,,,,,,,"For real, want you to show me how you feel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,look at all the new beautiful faces,,,,,,,,,,,,All these bitches and all these hoes,,,,,,,,,,,,,,,,,,,,,"Love is war, I'm your soldier",,,,,,,,,,,,,,Your boy back on his hustle don't know you don't discuss you,,Got that one out,,,"People talk shit about me, deep down they knowin' they ain't right",,,,,,,
343,,,,,,,,,,,So when he hits the streets he gon' eat through this bread,,,,,,,,,,,,"Keep up with the asses, keep up with the grades",,,,,,,,,,Why?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,just last week they wanna see ID,,,,,,,,,,,,My momma pushed out a diamond,,,,,,,,,,,,,,,,,,,,,"But oooh child you my destiny, and I know it's especially",,,,,,,,,,,,,,"I'm headed to the ball, me and three prom queens",,And if your ass is dumb you won't even get a chance,,,"Y'all niggas know the brand, GQ mustachin' I'm in LA",,,,,,,
344,,,,,,,,,,,She told me that she only do girls,,,,,,,,,,,,A nigga straight A's like the Braves,,,,,,,,,,But you ain't gon' need it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you almost remember what there name is,,,,,,,,,,,,Then I added The Prynce,,,,,,,,,,,,,,,,,,,,,And the 26 inch rim wheels looks so good with your 6-inch heels,,,,,,,,,,,,,,Thats to let you know what I'm about,,"And if I hit ya shorty, keep it on the low",,,"Most people know me as, Lil Kim the head of the La Bella Mafia",,,,,,,
345,,,,,,,,,,,But since she met a player like me,,,,,,,,,,,,I gotta chick in every class that give a nigga glances,,,,,,,,,,It's too big (big),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,after MTV thats a real world challenge,,,,,,,,,,,,It was nothing to get off of key,,,,,,,,,,,,,,,,,,,,,"Spread them legs, I'mma give it to ya all night, all night, all night, I'mma have you screaming",,,,,,,,,,,,,,Only on TV I gotta take a quick pose,,"She said she want it from the back, gladly",,,And I don't even talk like that,,,,,,,
346,,,,,,,,,,,She told me that she only do girls,,,,,,,,,,,,Can I have a bad bitch without no flaws,,,,,,,,,,It's too wide (wide),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thinkin' bout your own life,,,,,,,,,,,,Prynce ain't from Queens,,,,,,,,,,,,,,,,,,,,,But I love them feelings,,,,,,,,,,,,,,"You the fuckin' best, you the fuckin' best",,Might even kill somebody and YouTube it,,,Has not been Russell Simmons approved uh-uh,,,,,,,
347,,,,,,,,,,,But since she met a player like me,,,,,,,,,,,,"We flyer than a parakeet, floatin' with no parachute",,,,,,,,,,It's too strong (strong),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't love who I am so I'm workin' on a fix,,,,,,,,,,,,At the age of nineteen I had the coupe no ceiling,,,,,,,,,,,,,,,,,,,,,You give me when I'm wrapped up in your love,,,,,,,,,,,,,,"I say, you the fuckin'",,Snap my finger nigga buenos noches,,,Has not been Russell Simmons approved uh-uh,,,,,,,
348,,,,,,,,,,,Baby I can take you from your girl,,,,,,,,,,,,Can I have a bad bitch without no flaws,,,,,,,,,,It won't fit (fit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cutting me deep and even though I bleed I stand alone,,,,,,,,,,,,If I ever make a million,,,,,,,,,,,,,,,,,,,,,I hope someone lifts you up like the big guy who lifted me up,,,,,,,,,,,,,,"That's when you're the prettiest, I hope that you don't take it wrong",,And half of you niggas wishing,,,Finally I think it might be right to fall in love,,,,,,,
349,,,,,,,,,,,She kissin' girls cause she wanna,,,,,,,,,,,,Sloppy kisses from model bitches,,,,,,,,,,It's too much (much),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,But it's a American gangsta right here in your face,,,,,,,,,,,,bought a big house and a whole lot of ranges,,,,,,,,,,,,,,,,,,,,,Then I met a man who taught me how to live large,,,,,,,,,,,,,,"I want it, I want it",,My friends' best advice was to stay low,,,I think I finally found that guy,,,,,,,
350,,,,,,,,,,,"Deep down in her soul, man she fishin' for D",,,,,,,,,,,,To every bitch i ever barbie-dolled,,,,,,,,,,It's too tough (tough),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kanye West:,,,,,,,,,,,,a closset full of clothes and some brand new dangers,,,,,,,,,,,,,,,,,,,,,I want to be as free as the spirits of those who left,,,,,,,,,,,,,,"You want it, you want it",,The media said he's way out of control,,,"Cupid, I think I'm ready, ready to fall in love",,,,,,,
351,,,,,,,,,,,She send emojis to my phone,,,,,,,,,,,,Pure white like the powder was christian,,,,,,,,,,He talk like this 'cause he can back it up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is the hottest remix I ever did in my life,,,,,,,,,,,,and some mexican floral arrangers,,,,,,,,,,,,,,,,,,,,,Trapping niggas at my shows and them hoes love it,,,,,,,,,,,,,,"I'll see you, see you",,"Father, son, holy spirit",,,"In a black lambo, like Bruce Wayne",,,,,,,
352,,,,,,,,,,,"I like all of her friends, they're some nice girls",,,,,,,,,,,,And at this rate we gon' both die broke,,,,,,,,,,He got a big ego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damn near cried when I got that phone call,,,,,,,,,,,,a new relationship with a banker and,,,,,,,,,,,,,,,,,,,,,"Look, I feel like every great rapper has one of these man",,,,,,,,,,,,,,"Put my face up in your neck and breathe (Oh, breathe)",,"Now, if you can make the niggas kill the other niggas, go figure",,,"Like a lion, I can not be truly tamed",,,,,,,
353,,,,,,,,,,,"She a runway tall model, pretty white girl",,,,,,,,,,,,"Smokey Friday, so high might fly away",,,,,,,,,,I love his big ego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Consequence talking over the hook],,,,,,,,,,,,all the money in the world dont make it painless,,,,,,,,,,,,,,,,,,,,,12 years old with the hunny's on me,,,,,,,,,,,,,,"Round two, it's a round two",,"If you can make the niggas kill the other niggas, go figure",,,"Black sports, going about 120",,,,,,,
354,,,,,,,,,,,"That's my private life so you don't know that, girl",,,,,,,,,,,,Tried everything from sellin' weed to counterfeit,,,,,,,,,,Usually I'm humble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yeah, yo Chi. L-Roc. I got a confession to make. [?] running these streets. And that's with Kan Man. Kanye West. GLC. And of course your boy from the 1-9-3...Con to the quence. Yeah, yeah, yeah, yeah, yeah, yeah. Yeah, yeah, yeah, yeah, yeah, yeah. Word up. Let's go",,,,,,,,,,,,and trying to keep that balance,,,,,,,,,,,,,,,,,,,,,Fuckin' with the homies tryin' to teach them how to slap box,,,,,,,,,,,,,,"I want it, I want it",,Then another nigga wants to get it,,,Killing everybody like the Ku Klux Klan,,,,,,,
355,,,,,,,,,,,"All these girls be frontin', tryna be in disguise",,,,,,,,,,,,Superfreak bitches made a milli off a porno flick,,,,,,,,,,Right now I don't choose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Kanye talking over the hook],,,,,,,,,,,,"Nato per correre, non camminare",,,,,,,,,,,,,,,,,,,,,In my window watching all the kids have fun outside,,,,,,,,,,,,,,"You want it, you want it",,They want to break into that nigga crib,,,"Black Star, come on ma (yeah)",,,,,,,
356,,,,,,,,,,,"On that hush, hush, hush, she tellin' you lies",,,,,,,,,,,,"Good nigga, clean dick",,,,,,,,,,Some call it arrogant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is the hottest remix I ever did in my life,,,,,,,,,,,,"Per quanto ha sofferto (Aaah, se)",,,,,,,,,,,,,,,,,,,,,Tell me what I've got to do to get you licking in my custom Caddy,,,,,,,,,,,,,,"I'll see you, see you",,"See where he live, see what he did",,,Black Star in the building and it hasta be sick,,,,,,,
357,,,,,,,,,,,You should think about me,,,,,,,,,,,,I ain't got time for modelin',,,,,,,,,,I call it confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,But I've never never never never changed,,,,,,,,,,,,They deal it for real,,,,,,,,,,,,,,,,,,,,,"It's your boy Ne-Yo, we gonna do it like this",,,,,,,,,,,,,,"I'm gonna put you to bed, bed, bed, oh",,What don't phase me is when niggas try to call me crazy,,,Make it hot like it's supposed to be {Oh oh oh oh oh} (comin' Brown Sugar),,,,,,,
358,,,,,,,,,,,"Please, please baby",,,,,,,,,,,,"A star bitch you the realest, I'm a realist",,,,,,,,,,"Lyrics Written, Remixed & Edited By EA$Y TAVEN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Produced by Kanye West],,,,,,,,,,,,They deal it for real,,,,,,,,,,,,,,,,,,,,,Knowing that me and that nigga ain't friends,,,,,,,,,,,,,,Fly that you be on,,Now picture this; now if I show up onto this motherfucker,,,Make it hot like it's supposed to be {Oh oh oh oh oh} (Brown Sugar),,,,,,,
359,,,,,,,,,,,"As I reminisce, ah baby",,,,,,,,,,,,Let's toast to the Rolls I driven,,,,,,,,,,Intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And don't I do what I do say?,,,,,,,,,,,,Ridin in a car you probably never seen in the states,,,,,,,,,,,,,,,,,,,,,How you have everything in this world and waste it,,,,,,,,,,,,,,You got something that I can't fight,,"They always want to say, """"He's crazy, see""""",,,"Bret Easton Ellis: Maybe it's because movies seem more disposable now, and I'm just aching for that type of pleasure that you got with There Will Be Blood, but I find this year hard to get into. Has there been anything that you've recently seen that you've said “yes, that's interesting, yes, that's moving the dial over a little bit,” or?",,,,,,,
360,,,,,,,,,,,For some reason she just be calling my name,,,,,,,,,,,,Ain't nobody fucking with my,,,,,,,,,,EA$Y TAVEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And you know one thing that's great about that problem,,,,,,,,,,,,Hey you can get a hundred on 'em for a million today,,,,,,,,,,,,,,,,,,,,,"Let me get those jeans, and let me get that rock on your finger",,,,,,,,,,,,,,I can barely move but I like it,,"You should be embarrassed, you a nigga",,,And yours clothes is tight but you don't seem gay,,,,,,,
361,,,,,,,,,,,"'Cause I always run get her, she a part of me, mane",,,,,,,,,,,,"They try me, I bet we bang",,,,,,,,,,To Dubai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,That it's not my problem,,,,,,,,,,,,Frank Lucas ain't the only one who made a million a day,,,,,,,,,,,,,,,,,,,,,Knowing that me and that nigga ain't friends,,,,,,,,,,,,,,"I'mma beat it up, you know I beat it up",,"You should be embarrassed, you should be",,,I'm leavin' you haters like when Shaq left the Lakers just to Heat it up,,,,,,,
362,,,,,,,,,,,"Listen, I been coppin them P's and",,,,,,,,,,,,I'm in this bitch you know you shouldn't came pussy nigga,,,,,,,,,,Yeah Yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You know one thing that's great about that problem,,,,,,,,,,,,Five cash for the crib on the back of the lake,,,,,,,,,,,,,,,,,,,,,"And love yous, when jake came, you hid my packs",,,,,,,,,,,,,,(No time to lose) It's time for you to read the signs,,"It's hard enough, it's hard enough, it's hard enough",,,"I state the stats to stunt, I don't need to front",,,,,,,
363,,,,,,,,,,,She's bobbin her weave and (yes sir),,,,,,,,,,,,I tell a bad bitch do whatever I say,,,,,,,,,,Yeah Yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The fact that that's not my problem,,,,,,,,,,,,"We, invested in that, it's like we got Merrill Lynched",,,,,,,,,,,,,,,,,,,,,Never cuse those who player hay-ay-ate,,,,,,,,,,,,,,Say what you like (Say what you like),,Nobody do it like my muthauckin' clique,,,"Make black history every day, I don't need a month",,,,,,,
364,,,,,,,,,,,I'mma wild out until I part with my breathin,,,,,,,,,,,,"I been up straight for nine days, I need a spa day",,,,,,,,,,Verse 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You know one thing that's great about that problem,,,,,,,,,,,,"So we, cook it, cut it, measure it, bag it",,,,,,,,,,,,,,,,,,,,,You fake niggas stray way like the mind of a child born into K-K-K,,,,,,,,,,,,,,Then he looked at nigga crazy because I say why,,"And all these bad bitches, man, they want the",,,"This that red cup, all on the lawn shit",,,,,,,
365,,,,,,,,,,,Wouldn't mind making her part of my achivements (what happened),,,,,,,,,,,,"I might let my crew bang, my crew deeper than Wu Tang",,,,,,,,,,Woke up on the Microphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Is that the fact that it's not my problem,,,,,,,,,,,,"Sell it, the fiends, cop it, nowadays they can't tell if",,,,,,,,,,,,,,,,,,,,,"I gotta live, I gotta love",,,,,,,,,,,,,,"Let me catch my breath right quick, Let's go!",,"They want the, they want the",,,"This that red cup, all on the lawn shit",,,,,,,
366,,,,,,,,,,,And I'mma hold them things,,,,,,,,,,,,"OK ain't nobody fucking with my clique, clique, clique, clique, clique",,,,,,,,,,Rhymes on my phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,But I'm in the Jeep with this freaky ass Aggy,,,,,,,,,,,,What Gil Scott was hearin,,,,,,,,,,,,,,,,,,,,,"I gotta live, I gotta love",,,,,,,,,,,,,,"That's why I'm aiming outside the box, like it's a free throw",,"And all these bad bitches, man, they want the",,,My Answers cost three-hundred-fifty ya naw mean,,,,,,,
367,,,,,,,,,,,"Don't let me into my zone, you haters leave me alone",,,,,,,,,,,,I tell a bad bitch do whatever I say,,,,,,,,,,That's a crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Produced by Kanye West, No I.D., and Jeff Bhasker]",,,,,,,,,,,,We invested in that it's like we got Merril-Lynched,,,,,,,,,,,,,,,,,,,,,Cause you beating me is like Def Leppard's drummer jump-roping (not happening),,,,,,,,,,,,,,And I spit that shit so fast sometimes I need to slow it down,,"They want the, they want the",,,"How many of y'all don't give a fuck about what the press say? It's 2014. College Dropout came out 2004. I want y'all to know, every time I go to the studio, every time I do an interview, every time I make a motherfuckin' t-shirt, the thing I do, I give it everything I got. And when I talk that shit, it's so that you can talk that shit. If you a fan of me, you a fan of your motherfuckin' self. You can do something that'll change the world. Look at how they try to make me look. They try to make me look crazy. And the people that write that? I don't see them performing for 90,000 motherfuckers … I know you seen movies and shit. Jimi Hendrix. John Lennon. Jim Morrison. I know y'all seen movies and shit. But y'all livin' a movie right motherfucking now. Because I AM THE NUMBER ONE MOTHERFUCKING ROCK STAR ON THE PLANET.",,,,,,,
368,,,,,,,,,,,"Don't let me into my zone, you haters leave me alone",,,,,,,,,,,,"I been up straight for nine days, I need a spa day (spa day)",,,,,,,,,,I heard they sueing everybody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kanye West! (Swag King Cole) DJ Khaled!,,,,,,,,,,,,"So we cook it, cut it, measure it, bag it,sell it",,,,,,,,,,,,,,,,,,,,,None other will do when my crew's out there having fun,,,,,,,,,,,,,,Tell me I ain't hold it down,,"Nigga down for like 12 years, ain't hug his son since second grade",,,"I appreciate that, uhhd",,,,,,,
369,,,,,,,,,,,"Don't let me into my zone, you haters leave me alone",,,,,,,,,,,,"I might let my crew bang, my crew deeper than Wu-Tang",,,,,,,,,,With commited crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only nigga I got respect for is Wiz,,,,,,,,,,,,We ain't sure man,,,,,,,,,,,,,,,,,,,,,Able to go three the hard way without Puffy's friends (let's did it),,,,,,,,,,,,,,"Talked it then he lived it, spit it then he shit it",,"Timeless, so age don't count in the booth",,,"And I used to tell people """"you know, this, this gon' be like The Truth",,,,,,,
370,,,,,,,,,,,"Don't let me into my zone, you haters leave me alone",,,,,,,,,,,,"Ask the teenagers, OG's and nasty kids",,,,,,,,,,Then I saw the sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Life is a bitch,,,,,,,,,,,,Writin when our soldiers ran for the stove cuz--,,,,,,,,,,,,,,,,,,,,,Told me back in 95' she fell in love with the tribe,,,,,,,,,,,,,,And bow so hard until your knees hit your forehead,,To let me figure out this wasn't my place,,,"And he was all like, the Takeover",,,,,,,
371,,,,,,,,,,,They say what they like but I been that way,,,,,,,,,,,,Since I came in the door became one of y'alls leaders,,,,,,,,,,But got six bucks only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,But instead i just misguided y'all,,,,,,,,,,,,"You said, you said, you said I didn't have to swear by my blood",,,,,,,,,,,,,,,,,,,,,We fill your lives,,,,,,,,,,,,,,I wanted to be like him,,"If it's classic, it's gon' last forever then",,,Seemed like I just wasn't reaching the charts,,,,,,,
372,,,,,,,,,,,My favorite girl wanna leave me just because I got a girlfriend,,,,,,,,,,,,And your flow stays submerged in the fountain of youth,,,,,,,,,,Gotta hustle everyday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not just by myself, looking for nigga's like where's Waldo",,,,,,,,,,,,"For granted, cause granted my love for you is real",,,,,,,,,,,,,,,,,,,,,And I would like to,,,,,,,,,,,,,,Fuck it I ain't gonna lie homie,,"To let me figure out this wasn?t my place, the beat slowed til? you listened to my pace",,,"Light jokes, you keep playin with them white folks",,,,,,,
373,,,,,,,,,,,My freak girl tell me now she a Christian,,,,,,,,,,,,"I did a little bit of college, semesters it took 2 like Rob Base",,,,,,,,,,Gotta keep it groovy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And you wonder why it's gone in the nightlife,,,,,,,,,,,,I'm a owner and a consumer,,,,,,,,,,,,,,,,,,,,,"All of the time, you wanna complain about the nights alone",,,,,,,,,,,,,,I can't remember what he said,,"Got enough toys, wondering what's my next pick",,,"And everyday of my life, people try to tell me that I hate the whites",,,,,,,
374,,,,,,,,,,,She a pledge A.K.A. she was pink and green,,,,,,,,,,,,"The streets lit up, it feel like Christmas officially",,,,,,,,,,My dreams in juvy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,And you wonder why it's gone in the nightlife,,,,,,,,,,,,Its hard to picture a nigga not get money,,,,,,,,,,,,,,,,,,,,,"So now you here with me, social gratitude",,,,,,,,,,,,,,You got on with the thighs hanging out the side,,"Got enough toys, wondering what's my next pick",,,Cause I said what's right,,,,,,,
375,,,,,,,,,,,"I want a good girl, she want a gentleman",,,,,,,,,,,,"Now pour some more eggnog in you drink, mami",,,,,,,,,,Hook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,You've been treating me like I'm [?],,,,,,,,,,,,"I'm focused on that cash, I just laugh at them bastards",,,,,,,,,,,,,,,,,,,,,Your dreams are gone see the light of day,,,,,,,,,,,,,,Turning me on with the way you're strutting,,All the models to the floor right now,,,Black people wanna talk about me on blogs,,,,,,,
376,,,,,,,,,,,But she just too far away for affection,,,,,,,,,,,,Her voice slow 'cause “I always got a sore throat”,,,,,,,,,,No they don't die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I just feel like I'm the only one that compares,,,,,,,,,,,,It's funny hoes I couldn't have is tryna bag me,,,,,,,,,,,,,,,,,,,,,Love the adventure and when you do me,,,,,,,,,,,,,,Even though you only walking,,And see if Jessica Stam got the stamina,,,"Cause I like clothes like, 'look at this fag'",,,,,,,
377,,,,,,,,,,,"Cause I remember Stacy, she prolly hate me",,,,,,,,,,,,And we a little late with the Christmas gifts,,,,,,,,,,No they don't die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm not out of control just not in their control,,,,,,,,,,,,But I'm in the Jeep with this freaky ass Aggy,,,,,,,,,,,,,,,,,,,,,"I heard last man, soft ass friend like macho man",,,,,,,,,,,,,,I can tell it now from what I see you're working with,,Let's be clear and let's be fair,,,"A black man interested in art, speaking from the heart and playin' my part",,,,,,,
378,,,,,,,,,,,She used to threaten she had a man to replace me,,,,,,,,,,,,"The streets lit up, it feel like Christmas officially",,,,,,,,,,And you were always mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I can see a thousand years from now in real life,,,,,,,,,,,,Can't a young nigga get money any more? (ah),,,,,,,,,,,,,,,,,,,,,I was born with it so pardon this pimpin',,,,,,,,,,,,,,Gots to hit that from the back,,And they've chained him to a chair,,,"Blood on the Leaves tells the story of a relationship torn apart by materialism, unprotected sex, and drugs. West samples Nina Simone's rendition of 'Strange Fruit', a song that paints a vivid picture of racial violence in the segregated South. West samples the line: """"Black bodies swinging from the summer breeze; strange fruit hanging from the poplar trees."""" The frenzied, pitched up use of this line cast the song in a racial light. The characters in 'Blood on the Leaves' become the lynched victims in 'Strange Fruit'. Instead of racial violence, these characters have fallen victim to the perils of materialism, drugs and unprotected sex, all of which are issues that disproportionately affect the black community",,,,,,,
379,,,,,,,,,,,"She talk that shit, I just hit the escape key",,,,,,,,,,,,"Now pour some more eggnog in you drink, mami",,,,,,,,,,You were always mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shit on the paradigm and shift it when I feel like,,,,,,,,,,,,"Six thousand dollar pair of shoes, we made it to the Paris news!",,,,,,,,,,,,,,,,,,,,,"Tony Williams in this bitch, who you is",,,,,,,,,,,,,,Lets take it back to basics,,"Politicians, sit yourselves down",,,"West performed this song,already saturated with meaning, at the VMA awards in front of a purposefully lighted and positioned backdrop of a photo by film director Steven McQueen. The photo depicts a tree in New Orleans that was the site of racially charged lynchings. It's lit and positioned in such a way that as West performs in front of it, he appears as a shadow, his erratic movements almost resembling a man hanging from the branches. The shadows of the audience's raised hands appear at the bottom of the frame, as if coming out of the ground, representing the scores of victims buried at sites like this across America",,,,,,,
380,,,,,,,,,,,And then she get mad and wanna go and erase me,,,,,,,,,,,,You want the thigh high spikes with the red bottoms,,,,,,,,,,You were always mine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[?] conventional thoughts, don't even question",,,,,,,,,,,,Can't a young nigga get money any more? (ah),,,,,,,,,,,,,,,,,,,,,Ain't no telling what your daddy and your momma doing,,,,,,,,,,,,,,"Throwing them shots, like 'nigga, you know me'",,Don't ask Jack to help you,,,Thought you'd be different 'bout it,,,,,,,
381,,,,,,,,,,,"And I remember Amy, she used to AIM me",,,,,,,,,,,,Let's make a toast cause Christ is born,,,,,,,,,,Always mine baby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'm T-Raww young nigga I'm the shit,,,,,,,,,,,,Cars with chauffeurs sockless loafers,,,,,,,,,,,,,,,,,,,,,Family and friends to me,,,,,,,,,,,,,,I spit it so you could feel it,,"It ain't ninety-fo' Joe, we can't go back",,,My leather black jeans on,,,,,,,
382,,,,,,,,,,,"She stayed up late, and used to blame me",,,,,,,,,,,,We gon' party all night til the lights come on,,,,,,,,,,Yeah yeah yeah yeah yeah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shit, shit, shit, shit",,,,,,,,,,,,More horses near the pistons,,,,,,,,,,,,,,,,,,,,,To pop some fireworks with my kids,,,,,,,,,,,,,,You know what I’m saying,,The game need a makeover,,,They see a black man with a white woman,,,,,,,
383,,,,,,,,,,,"She said I'm too wild, she wanna tame me",,,,,,,,,,,,I caught her looking at my Rollie as my mojo spills,,,,,,,,,,Verse 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I be the shit, we be the shit, I am the shit",,,,,,,,,,,,The logistics the left arm glisten,,,,,,,,,,,,,,,,,,,,,"See, it's the family reunion",,,,,,,,,,,,,,Let em put you on peep it though,,Tonio tell me what the bail is it'll be there,,,Like them black kids in Chiraq bitch,,,,,,,
384,,,,,,,,,,,I told her even Photoshop couldn't change me,,,,,,,,,,,,Okay my white girl Veronica,,,,,,,,,,The flight was 30 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""Damn, look at those real niggas",,,,,,,,,,,,As I exit the car with the partition,,,,,,,,,,,,,,,,,,,,,213 is more than friends,,,,,,,,,,,,,,Let em put you on peep it though,,And when you get out my coke tail here,,,"But I ain't finished, I'm devoted",,,,,,,
